1, car, [255, 255, 0]
2, pedestrian, [0, 0, 102]
3, car, [51, 51, 102]
4, motorcycle, [102, 102, 51]
5, airplane, [153, 153, 51]
6, bus, [204, 204, 51]
7, train, [255, 255, 51]
8, truck, [0, 0, 153]
9, boat, [51, 51, 153]
10, traffic light, [102, 102, 153]
11, fire hydrant, [153, 153, 102]
13, stop sign, [204, 204, 102]
14, parking meter, [255, 255, 102]
15, bench, [0, 0, 204]
16, bird, [51, 51, 204]
17, cat, [102, 102, 204]
18, dog, [153, 153, 204]
19, horse, [204, 204, 153]
20, sheep, [255, 255, 153]
21, cow, [0, 0, 255]
22, elephant, [51, 51, 255]
23, bear, [102, 102, 255]
24, zebra, [153, 153, 255]
25, giraffe, [204, 204, 255]
27, backpack, [255, 255, 204]
28, umbrella, [0, 51, 0]
31, handbag, [51, 102, 51]
32, tie, [102, 153, 102]
33, suitcase, [153, 204, 153]
34, frisbee, [204, 255, 204]
35, skis, [255, 0, 255]
36, snowboard, [0, 102, 0]
37, sports ball, [51, 153, 51]
38, kite, [102, 204, 102]
39, baseball bat, [153, 255, 153]
40, baseball glove, [204, 0, 204]
41, skateboard, [255, 51, 255]
42, surfboard, [0, 153, 0]
43, tennis racket, [51, 204, 51]
44, bottle, [102, 255, 102]
46, wine glass, [153, 0, 153]
47, cup, [204, 51, 204]
48, fork, [255, 102, 255]
49, knife, [0, 204, 0]
50, spoon, [51, 255, 51]
51, bowl, [102, 0, 102]
52, banana, [153, 51, 153]
53, apple, [204, 102, 204]
54, sandwich, [255, 153, 255]
55, orange, [0, 255, 0]
56, broccoli, [51, 0, 51]
57, carrot, [102, 51, 102]
58, hot dog, [153, 102, 153]
59, pizza, [204, 153, 204]
60, donut, [255, 204, 255]
61, cake, [0, 255, 51]
62, chair, [51, 0, 102]
63, couch, [102, 51, 153]
64, potted plant, [153, 102, 204]
65, bed, [204, 153, 255]
67, dining table, [255, 204, 0]
70, toilet, [0, 255, 102]
72, tv, [51, 0, 153]
73, laptop, [102, 51, 204]
74, mouse, [153, 102, 255]
75, remote, [204, 153, 0]
76, keyboard, [255, 204, 51]
77, cell phone, [0, 255, 153]
78, microwave, [51, 0, 204]
79, oven, [102, 51, 255]
80, toaster, [153, 102, 0]
81, sink, [204, 153, 51]
82, refrigerator, [255, 204, 102]
84, book, [0, 255, 204]
85, clock, [51, 0, 255]
86, vase, [102, 51, 0]
87, scissors, [153, 102, 51]
88, teddy bear, [204, 153, 102]
89, hair drier, [255, 204, 153]
90, toothbrush, [0, 255, 255]
